id,rikishi,losses,matches,wins,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
4104,Takanosato,52,197,145,0.74,Yokozuna,yorikiri,,
1319,Tachihikari,160,305,145,0.48,Maegashira15,uwatenage,,
226,Wakatenro,176,321,145,0.45,Juryo2,oshidashi,,
5984,Shirononami,163,308,145,0.47,Juryo4,yorikiri,Shiraishi,
4112,Kotokaze,78,222,144,0.65,Ozeki,yorikiri,,
1397,Ishinriki,162,304,142,0.47,Juryo1,shitatenage,,
32,Akinoshu,146,288,142,0.49,Maegashira9,yorikiri,,
4102,Aobajo,186,327,141,0.43,Sekiwake,yorikiri,,
7143,Amakaze,151,292,141,0.48,Maegashira13,yorikiri,Kawanari,
1405,Amuru,142,282,140,0.5,Maegashira5,yorikiri,,
1326,Tsunenoyama,163,302,139,0.46,Maegashira12,yorikiri,Nishinoryu,
296,Yoshiazuma,194,333,139,0.42,Maegashira12,yorikiri,,
138,Sentoryu,141,278,137,0.49,Maegashira12,oshidashi,Kaishinzan,
149,Juzan,188,325,137,0.42,Juryo2,oshidashi,,
75,Daihisho,135,271,136,0.5,Maegashira10,yorikiri,,
4091,Washuyama,135,270,135,0.5,Maegashira11,yorikiri,,
57,Yamato,127,258,131,0.51,Maegashira12,yorikiri,,
6766,Kiyoseumi,117,248,131,0.53,Maegashira13,hatakikomi,Ichihara,
11989,Yamaguchi,159,285,126,0.44,Maegashira16,hatakikomi,Daikiho,
122,Daimanazuru,153,278,125,0.45,Maegashira16,yorikiri,,
59,Susanoumi,154,278,124,0.45,Juryo2,oshidashi,Kanesaku,Masakabuto
222,Sumanofuji,170,294,124,0.42,Juryo9,oshidashi,,
4128,Kotochitose,134,257,123,0.48,Maegashira14,yorikiri,,
1365,Hananofuji,132,255,123,0.48,Juryo1,yorikiri,,
1313,Komafudo,139,261,122,0.47,Maegashira13,yorikiri,Hananowaka,
12040,Daishoho,137,253,116,0.46,Maegashira9,yorikiri,,
4133,Takarakuni,146,261,115,0.44,Maegashira2,yorikiri,Saisu,
91,Hoshiandesu,127,242,115,0.48,Juryo2,hatakikomi,,
1385,Tochiakagi,133,247,114,0.46,Maegashira12,yorikiri,,
12406,Mitoryu,118,232,114,0.49,Maegashira15,yorikiri,,
4139,Koryu,117,229,112,0.49,Maegashira4,yorikiri,,
76,Hoshitango,141,251,110,0.44,Juryo3,hatakikomi,,
204,Ryuho,140,250,110,0.44,Maegashira16,yorikiri,,
924,Wakakirin,105,213,108,0.51,Maegashira9,oshidashi,Suzukawa,
1031,Ryuo,121,227,106,0.47,Maegashira8,oshidashi,,
1215,Takanoyama,142,248,106,0.43,Maegashira12,tottari,,
1323,Kumao,127,231,104,0.45,Juryo5,oshidashi,,
12412,Enho,111,215,104,0.48,Maegashira4,shitatenage,,
11980,Wakamotoharu,72,176,104,0.59,Sekiwake,yorikiri,,
1377,Iwatefuji,125,228,103,0.45,Juryo6,yorikiri,Futasekaze,
784,Daishodai,121,220,99,0.45,Juryo1,yorikiri,,
12077,Takagenji,102,199,97,0.49,Maegashira10,yorikiri,,
4134,Oyutaka,131,226,95,0.42,Komusubi,yorikiri,,
1476,Otaka,105,200,95,0.47,Juryo4,yorikiri,,
1104,Hoshihikari,105,199,94,0.47,Juryo1,yorikiri,,
116,Nakao,114,207,93,0.45,Maegashira12,oshidashi,Wakatsutomu,
12425,Yago,91,184,93,0.51,Maegashira10,yorikiri,,
56,Masutsuyoshi,132,224,92,0.41,Juryo6,yorikiri,,
69,Towanoyama,95,187,92,0.49,Maegashira13,yorikiri,Otakayama,
1266,Nionoumi,111,203,92,0.45,Maegashira16,oshidashi,,
77,Yutakafuji,109,200,91,0.46,Juryo5,yorikiri,Osuzuki,
4332,Tochinohana,106,196,90,0.46,Juryo4,yorikiri,,
12362,Ichiyamamoto,103,193,90,0.47,Maegashira8,oshidashi,,
12449,Kotoshoho,107,197,90,0.46,Maegashira3,oshidashi,Kototebakari,
4118,Amanoyama,115,204,89,0.44,Maegashira8,oshidashi,,
929,Kirinowaka,113,202,89,0.44,Juryo4,yorikiri,,
1329,Daigaku,83,171,88,0.51,Juryo2,yorikiri,,
1417,Ichinowatari,92,178,86,0.48,Juryo5,yorikiri,,
6769,Yamamotoyama,90,175,85,0.49,Maegashira9,yorikiri,,
82,Tochitenko,103,186,83,0.45,Juryo4,yorikiri,,
68,Gokenzan,109,191,82,0.43,Juryo6,yorikiri,Goto,
65,Dewataira,89,171,82,0.48,Juryo4,yorikiri,,
2930,Tokusegawa,72,154,82,0.53,Maegashira4,yorikiri,,
130,Kaido,94,175,81,0.46,Juryo4,yorikiri,Tanaka,Kaito
124,Sumiya,94,174,80,0.46,Juryo5,oshidashi,Saigo,
1366,Takanomine,92,171,79,0.46,Maegashira12,yorikiri,,
1327,Yoshinobori,107,186,79,0.42,Juryo4,oshidashi,,
74,Kotokanyu,110,188,78,0.41,Juryo7,oshidashi,,
4132,Wakanofuji,77,154,77,0.5,Maegashira3,yorikiri,,
4141,Nankairyu,62,137,75,0.55,Maegashira2,oshidashi,,
6527,Wakanoho,65,140,75,0.54,Maegashira1,yorikiri,,
12352,Midorifuji,78,152,74,0.49,Maegashira1,katasukashi,,
4077,Fujizakura,95,165,70,0.42,Maegashira1,oshidashi,,
174,Mutsuhokkai,84,154,70,0.45,Juryo6,yorikiri,,
6042,Masuraumi,86,156,70,0.45,Juryo5,oshidashi,Kurosawa,
1291,Sunahama,71,140,69,0.49,Juryo5,yorikiri,,
4080,Kitanoumi,35,102,67,0.66,Yokozuna,yorikiri,,
12453,Oho,69,136,67,0.49,Maegashira6,oshidashi,,
4319,Harunafuji,76,139,63,0.45,Juryo2,yorikiri,,
168,Hokutoiwa,84,146,62,0.42,Juryo10,oshidashi,,
2831,Hoshikaze,64,126,62,0.49,Juryo3,uwatenage,,
167,Tamamitsukuni,88,147,59,0.4,Juryo7,yorikiri,Tamanokuni,
6600,Tochihiryu,93,152,59,0.39,Juryo7,oshidashi,,
9077,Kizenryu,93,152,59,0.39,Juryo11,uwatenage,,
12427,Tomokaze,36,94,58,0.62,Maegashira3,hatakikomi,,
4122,Kurosegawa,70,127,57,0.45,Maegashira14,yorikiri,,
1349,Kotohakusan,69,126,57,0.45,Juryo4,yorikiri,,
1324,Terunoumi,71,128,57,0.45,Maegashira15,yorikiri,Hayashi,Daikiko
7125,Tanzo,66,123,57,0.46,Juryo6,yorikiri,Terashita,
199,Kuniazuma,53,107,54,0.5,Juryo4,kotenage,,
2835,Shironoryu,80,133,53,0.4,Juryo1,oshidashi,,
12255,Chiyonoumi,67,120,53,0.44,Juryo8,oshidashi,,
7138,Daishoumi,59,110,51,0.46,Juryo10,yorikiri,Mori,
12351,Nishikifuji,55,106,51,0.48,Maegashira3,yorikiri,,
1134,Tsurugidake,66,116,50,0.43,Maegashira16,oshidashi,,
1127,Hokutokuni,53,102,49,0.48,Juryo6,oshidashi,,
