id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
1397,Ishinriki,304,142,162,0.47,Juryo1,shitatenage,,
32,Akinoshu,288,142,146,0.49,Maegashira9,yorikiri,,
4102,Aobajo,327,141,186,0.43,Sekiwake,yorikiri,,
7143,Amakaze,292,141,151,0.48,Maegashira13,yorikiri,Kawanari,
1405,Amuru,282,140,142,0.5,Maegashira5,yorikiri,,
1326,Tsunenoyama,302,139,163,0.46,Maegashira12,yorikiri,Nishinoryu,
296,Yoshiazuma,333,139,194,0.42,Maegashira12,yorikiri,,
138,Sentoryu,278,137,141,0.49,Maegashira12,oshidashi,Kaishinzan,
149,Juzan,325,137,188,0.42,Juryo2,oshidashi,,
75,Daihisho,271,136,135,0.5,Maegashira10,yorikiri,,
4091,Washuyama,270,135,135,0.5,Maegashira11,yorikiri,,
57,Yamato,258,131,127,0.51,Maegashira12,yorikiri,,
6766,Kiyoseumi,248,131,117,0.53,Maegashira13,hatakikomi,Ichihara,
11989,Yamaguchi,285,126,159,0.44,Maegashira16,hatakikomi,Daikiho,
122,Daimanazuru,278,125,153,0.45,Maegashira16,yorikiri,,
59,Susanoumi,278,124,154,0.45,Juryo2,oshidashi,Kanesaku,Masakabuto
222,Sumanofuji,294,124,170,0.42,Juryo9,oshidashi,,
4128,Kotochitose,257,123,134,0.48,Maegashira14,yorikiri,,
1365,Hananofuji,255,123,132,0.48,Juryo1,yorikiri,,
1313,Komafudo,261,122,139,0.47,Maegashira13,yorikiri,Hananowaka,
12040,Daishoho,253,116,137,0.46,Maegashira9,yorikiri,,
4133,Takarakuni,261,115,146,0.44,Maegashira2,yorikiri,Saisu,
91,Hoshiandesu,242,115,127,0.48,Juryo2,hatakikomi,,
1385,Tochiakagi,247,114,133,0.46,Maegashira12,yorikiri,,
12406,Mitoryu,232,114,118,0.49,Maegashira15,yorikiri,,
4139,Koryu,229,112,117,0.49,Maegashira4,yorikiri,,
76,Hoshitango,251,110,141,0.44,Juryo3,hatakikomi,,
204,Ryuho,250,110,140,0.44,Maegashira16,yorikiri,,
924,Wakakirin,213,108,105,0.51,Maegashira9,oshidashi,Suzukawa,
1031,Ryuo,227,106,121,0.47,Maegashira8,oshidashi,,
1215,Takanoyama,248,106,142,0.43,Maegashira12,tottari,,
1323,Kumao,231,104,127,0.45,Juryo5,yorikiri,,
12412,Enho,215,104,111,0.48,Maegashira4,shitatenage,,
11980,Wakamotoharu,176,104,72,0.59,Sekiwake,yorikiri,,
1377,Iwatefuji,228,103,125,0.45,Juryo6,yorikiri,Futasekaze,
784,Daishodai,220,99,121,0.45,Juryo1,yorikiri,,
12077,Takagenji,199,97,102,0.49,Maegashira10,yorikiri,,
4134,Oyutaka,226,95,131,0.42,Komusubi,yorikiri,,
1476,Otaka,200,95,105,0.47,Juryo4,yorikiri,,
1104,Hoshihikari,199,94,105,0.47,Juryo1,yorikiri,,
116,Nakao,207,93,114,0.45,Maegashira12,oshidashi,Wakatsutomu,
12425,Yago,184,93,91,0.51,Maegashira10,yorikiri,,
56,Masutsuyoshi,224,92,132,0.41,Juryo6,yorikiri,,
69,Towanoyama,187,92,95,0.49,Maegashira13,yorikiri,Otakayama,
1266,Nionoumi,203,92,111,0.45,Maegashira16,oshidashi,,
77,Yutakafuji,200,91,109,0.46,Juryo5,yorikiri,Osuzuki,
4332,Tochinohana,196,90,106,0.46,Juryo4,yorikiri,,
